,CVE_AGEB
390,0023
566,0042
501,0076
391,0080
194,0095
2,0108
96,0112
392,0131
87,0146
393,0150
560,017A
522,0199
213,0216
214,0220
142,024A
473,0273
394,0288
395,0292
131,0305
132,031A
146,0324
530,0339
147,0343
489,0358
148,0362
100,0377
555,0381
149,0396
150,0409
106,0413
91,0428
151,0432
152,0466
0,0470
90,049A
487,0502
212,0517
97,0521
9,0536
153,0540
551,0555
542,056A
154,0574
520,0593
193,0606
155,0610
89,0625
491,063A
559,0644
156,0659
93,0663
196,0678
198,0682
124,0697
531,070A
157,0714
158,0729
207,0733
107,0748
108,0752
543,0767
109,0771
110,0786
556,0790
573,0803
488,0818
159,0837
143,0841
476,0894
191,0907
195,0911
94,0926
197,0945
199,095A
479,0964
529,1055
444,106A
515,1074
469,1089
552,1093
101,1106
532,1110
117,1125
481,113A
192,1144
83,1159
442,1163
104,1178
446,1197
561,120A
36,1214
447,1233
482,1248
35,1267
118,1271
449,1286
450,1290
541,1303
448,1318
553,1322
544,1360
103,1375
512,138A
436,1394
437,1407
505,1411
517,1426
581,1430
554,1445
578,145A
533,1464
579,1479
111,1746
160,1750
396,177A
397,1799
398,1835
399,184A
400,1854
401,1869
216,1873
217,1888
204,1905
451,191A
452,1924
453,1939
402,1943
403,1958
404,1996
405,2000
454,2015
455,202A
456,2049
215,2068
406,2072
408,2087
409,2091
410,2195
457,2208
411,2246
412,2250
413,2265
102,2299
414,2335
415,234A
416,2354
417,2373
492,2388
418,2405
419,2443
218,2458
219,2462
220,2477
558,2481
37,2509
222,2513
223,2528
224,2532
225,2547
226,2551
227,2566
458,2570
494,2585
495,2602
228,2617
229,2621
546,2636
513,2640
534,2655
13,2706
420,2710
235,273A
550,2744
422,2763
236,2778
421,280A
423,2852
239,2886
424,2890
240,2903
242,2918
205,2922
243,2937
244,2941
232,2956
233,2960
234,2975
38,298A
425,2994
39,3009
40,3013
237,3028
238,3032
231,3047
245,3051
246,3066
247,3070
248,3085
249,3225
250,323A
